aapl	320193
msft	789019
brk-b	1067983
unh	731766
jnj	200406
xom	34088
tsm	1046179
wmt	104169
spy	884394
jpm	19617
pg	80424
lvmuy	824046
nvda	1045810
ma	1141391
cvx	93410
tsla	1318605
lly	59478
hd	354950
bac	70858
ko	21344
pfe	78003
abbv	1551152
baba	1577552
nvo	353278
pep	77476
cost	909832
tmo	97745
mrk	310158
avgo	1730168
dis	1744489
dhr	313616
tm	1094517
asml	937966
orcl	1341439
mcd	63908
abt	1800
csco	858877
azn	901832
nvs	1114448
tmus	1283699
acn	1467373
nee	753308
vz	732712
wfc	72971
adbe	796343
nke	320187
ups	1090727
crm	1108524
cmcsa	1166691
ms	895421
bmy	14272
cop	1163165
txn	97476
lin	1707925
pm	1413329
qcom	804328
unp	100885
schw	316709
ry	1000275
tte	879764
cvs	64803
bhp	811809
low	60667
rtx	101829
amgn	318154
asti	1350102
hdb	1144967
hon	773840
intu	896878
hsbc	1089113
mdt	1613103
td	947263
axp	4962
eqnr	1140625
t	732717
intc	50863
ul	217410
qqq	1067839
lmt	936468
pypl	1633917
ibm	51143
amt	1053507
de	315189
gs	886982
bp	313807
deo	835403
sap	1000184
rtntf	887028
sny	1121404
cat	18230
nflx	1065280
blk	1364742
adp	8670
c	831001
jd	1549802
ci	1739940
cslly	1274152
amd	2488
now	1373715
rio	863064
bti	1303523
sony	313838
pld	1045609
el	1001250
pdd	1737806
pbr	1119639
ba	12927
bud	1668717
enb	895728
syk	310764
cni	16868
spgi	64040
so	92122
duk	1326160
mdlz	1103982
cb	896159
ibn	1103838
gild	882095
bkng	1075531
abnb	1559720
mmc	62709
amat	6951
tgt	27419
gsk	1131399
bam	1001085
infy	1067491
ge	40545
tjx	109198
mo	764180
adi	6281
noc	1133421
zts	1555280
isrg	1035267
eadsy	1378580
regn	872589
pgr	80661
glncy	1524684
eog	821189
bdx	10795
vrtx	875320
cci	1051470
wm	823768
cp	16875
idexy	1438656
pbcry	1463157
fisv	798354
googl	1652044
csx	277948
chtr	1091667
cme	1156375
pnc	713676
mmm	66740
bx	1393818
usb	36104
d	715957
mufg	67088
bns	9631
cnq	1017413
hca	860730
amzn	1018724
sftby	1065521
team	1650372
gd	40533
uber	1543151
cl	21665
tfc	92230
cta-pa	30554
oxy	797468
vale	917851
aon	315293
itw	49826
bmo	927971
dmlry	1067318
pxd	1038357
snow	1640147
mpc	1510295
bsx	885725
mu	723125
atvi	718877
lrcx	707549
shw	89800
gm	1467858
hum	49071
ew	1099800
f	37996
ntes	1110646
epd	1061219
nsc	702165
ubs	1610520
etn	1551182
psa	1393311
mrna	1682852
slb	87347
eqix	1101239
ice	1571949
apd	2969
dg	29534
met	1099219
amov	1129137
sre	1032208
tri	1075124
fdx	1048911
rbgly	1420798
kdp	1418135
abb	1091587
mco	1059556
fis	1136893
aep	4904
mar	1048286
klac	319201
ntr	1725964
mck	927653
relx	929869
race	1648416
itub	1132597
enlay	1096200
snps	883241
emr	32604
cnc	1071739
prndy	899108
dvn	1090012
vmw	1124610
meli	1099590
cmg	1058090
adm	7084
trp	1232384
abev	1565025
ecl	31462
mnst	865752
su	311337
orly	898173
ctva	1755672
rsg	1060391
cdns	813672
lhx	202058
hsy	47111
bidu	1329099
stz	16918
gis	40704
vlo	1035002
ngg	1004315
adsk	769397
